2026/01/01 09:32:53 INFO Migration step executed (ignoring potential duplicate column error) query="ALTER TABLE agents ADD COLUMN token_hash TEXT;" error="SQL logic error: duplicate column name: token_hash (1)"
[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /health                   --> main.main.func2 (4 handlers)
[GIN-debug] GET    /api/v1/agents            --> main.main.func3 (4 handlers)
[GIN-debug] PUT    /api/v1/agents/:id/metadata --> main.main.func4 (4 handlers)
[GIN-debug] GET    /api/v1/metrics/:agent_id --> main.main.func5 (4 handlers)
[GIN-debug] POST   /api/v1/metrics           --> main.main.func6 (5 handlers)
2026/01/01 09:32:53 Server executing on :8080
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://github.com/gin-gonic/gin/blob/master/docs/doc.md#dont-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2026/01/01 - 09:33:26 | 401 |      28.669µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:26 | 401 |      32.533µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:26 | 401 |      39.234µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:27 | 200 |   11.729376ms |             ::1 | PUT      "/api/v1/agents/agent-uuid-1/metadata"
[GIN] 2026/01/01 - 09:33:27 | 401 |     322.825µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:27 | 200 |   13.014014ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:27 | 401 |      42.408µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:27 | 401 |      31.799µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:27 | 401 |      38.976µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:28 | 401 |     197.065µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:28 | 200 |   11.129598ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:28 | 200 |      43.749µs |             ::1 | GET      "/health"
[GIN] 2026/01/01 - 09:33:28 | 401 |      34.665µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:28 | 401 |      43.226µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:28 | 401 |      33.196µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:29 | 401 |     273.359µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:29 | 200 |   11.049079ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:29 | 200 |     613.892µs |             ::1 | GET      "/api/v1/metrics/agent-uuid-1"
[GIN] 2026/01/01 - 09:33:29 | 401 |      27.699µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:29 | 401 |      49.193µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:29 | 401 |      41.341µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 09:33:30 | 401 |     167.288µs |       127.0.0.1 | POST     "/api/v1/metrics"
